Number Of Loans,Average Principal,Past One Month,Past Three Months,Average Over Due Days,Low/High Risk
5,14400.0,0.0,0.0,0.0,0
1,35000.0,0.0,0.0,0.0,0
49,50040.82,0.0,0.0,0.0,0
69,51014.49,0.09,0.19,0.0,0
31,22451.61,0.0,0.0,0.0,0
184,50858.7,0.15,0.15,0.0,0
15,32666.67,0.0,0.0,0.0,0
86,47360.47,0.0,0.08,0.0,0
92,51733.7,0.0,0.0,0.0,0
23,36956.52,0.0,0.0,0.0,0
118,70677.97,2.81,4.91,3.17,1
22,84772.73,2.09,2.18,3.5,1
69,45507.25,0.38,0.38,0.0,0
21,10190.48,0.0,0.0,0.0,0
4,47500.0,0.0,0.0,0.0,0
46,12173.91,0.0,0.0,0.0,0
31,35645.16,0.0,0.0,0.0,0
110,52070.0,0.0,0.06,0.0,0
8,10000.0,0.0,0.0,0.0,0
10,16500.0,0.0,0.0,0.0,0
98,39642.86,0.0,0.0,0.0,0
228,34280.7,0.11,0.12,0.0,0
57,63684.21,0.0,0.25,0.0,0
9,18777.78,0.0,0.0,0.0,0
46,56304.35,0.0,0.13,0.0,0
24,26291.67,0.0,0.0,0.0,0
6,21666.67,0.0,0.0,0.0,0
2,37500.0,0.0,0.0,0.0,0
20,28250.0,0.0,0.0,0.0,0
40,43250.0,0.0,0.0,0.0,0
100,48010.0,0.66,1.33,0.0,0
25,15080.0,0.0,0.0,0.0,0
153,21901.96,0.0,0.0,0.0,0
37,38243.24,0.0,0.0,0.0,0
62,30758.06,0.0,0.26,0.0,0
8,17250.0,0.0,0.0,0.0,0
30,47500.0,0.0,0.0,0.0,0
83,47024.1,0.0,0.45,0.0,0
5,25000.0,0.0,0.0,0.0,0
34,33235.29,0.0,0.0,0.0,0
113,47256.64,0.0,0.09,0.0,0
12,34166.67,0.0,0.0,0.0,0
5,29000.0,0.0,0.0,0.0,0
199,23356.78,0.0,0.0,0.0,0
18,12000.0,0.0,0.0,0.0,0
62,48629.03,0.0,0.0,0.0,0
148,30085.81,0.39,0.82,0.57,0
84,47178.57,0.17,0.42,0.0,0
46,44239.13,0.0,0.0,0.0,0
25,15200.0,0.0,0.0,0.0,0
108,48287.04,0.0,0.0,0.0,0
23,15869.57,0.0,0.0,0.0,0
131,36488.55,0.0,0.16,0.0,0
10,19000.0,0.0,0.0,0.0,0
54,50555.56,0.39,0.52,0.0,0
8,16875.0,0.0,0.0,0.0,0
28,28035.71,0.0,0.0,0.0,0
22,22818.18,0.0,0.0,0.0,0
11,24363.64,0.0,0.0,0.0,0
8,11250.0,0.0,0.0,0.0,0
63,39444.44,0.0,0.0,0.0,0
74,38229.73,0.0,0.0,0.0,0
20,12500.0,0.0,0.0,0.0,0
21,36190.48,0.0,0.0,0.0,0
14,22857.14,0.0,0.0,0.0,0
15,25600.0,0.0,0.0,0.0,0
22,51818.18,0.0,0.0,0.0,0
119,35554.62,0.0,0.01,0.0,0
33,32348.48,20.15,50.67,20.33,1
59,33338.98,20.46,58.29,0.0,0
32,48312.5,0.0,0.0,0.0,0
111,24848.56,7.97,19.75,9.72,1
6,23333.33,0.0,0.0,0.0,0
14,32285.71,0.0,0.0,0.0,0
68,28102.94,0.0,0.0,0.0,0
29,21551.72,0.0,0.0,0.0,0
26,26230.77,0.0,0.0,0.0,0
27,44814.81,0.0,0.0,0.0,0
7,95714.29,0.0,0.0,0.0,0
5,21000.0,0.0,0.0,0.0,0
62,30967.74,0.0,0.03,0.0,0
41,34146.34,0.0,0.0,0.0,0
9,11222.22,0.0,0.0,0.0,0
2,12500.0,0.0,0.0,0.0,0
108,42129.63,0.0,0.18,0.0,0
105,22323.81,0.0,0.0,0.0,0
17,19117.65,0.0,0.0,0.0,0
46,32173.91,0.0,0.65,0.0,0
4,18750.0,0.0,0.0,0.0,0
2,10000.0,0.0,0.0,0.0,0
101,24663.37,0.0,0.02,0.0,0
42,42857.14,0.0,1.48,0.0,0
60,29966.67,0.0,0.0,0.0,0
43,37000.0,0.0,0.79,0.0,0
60,24750.0,1.17,1.98,1.68,0
63,58644.68,0.19,0.25,0.0,0
58,39827.59,0.0,3.79,0.0,0
141,27886.52,0.0,0.0,0.0,0
25,26600.0,0.0,0.0,0.0,0
39,24717.95,0.0,0.0,0.0,0
57,41017.54,0.0,0.0,0.0,0
40,53550.0,0.0,0.0,0.0,0
7,13571.43,0.0,0.0,0.0,0
5,32000.0,0.0,0.0,0.0,0
14,15857.14,0.0,0.0,0.0,0
4,10000.0,0.0,0.0,0.0,0
6,16666.67,0.0,0.0,0.0,0
25,35400.0,29.64,194.88,0.0,0
10,16500.0,0.0,0.0,0.0,0
48,20000.0,0.0,0.0,0.0,0
45,41777.78,5.62,23.16,0.0,0
107,30457.94,0.0,0.0,0.0,0
38,16526.32,0.0,0.0,0.0,0
113,49159.29,0.0,0.0,0.0,0
52,37346.15,0.0,0.0,0.0,0
251,42581.67,0.0,0.03,0.0,0
20,32000.0,0.0,0.0,0.0,0
30,30166.67,0.0,0.0,0.0,0
184,28201.09,0.0,0.01,0.0,0
43,40697.67,13.51,38.42,14.23,1
6,43333.33,0.0,0.0,0.0,0
150,30320.0,0.0,0.01,0.0,0
50,33300.0,0.0,0.0,0.0,0
86,36639.53,0.0,0.02,0.0,0
67,18791.04,0.0,0.0,0.0,0
53,42735.85,0.09,0.09,0.0,0
177,20539.27,0.0,0.1,0.0,0
69,40477.97,0.88,1.74,0.0,0
9,20000.0,0.0,0.0,0.0,0
77,21461.04,0.0,0.12,0.0,0
6,17000.0,0.0,0.0,0.0,0
44,37500.0,0.0,2.59,0.0,0
13,18076.92,0.0,0.0,0.0,0
31,18354.84,0.0,0.03,0.0,0
78,43576.92,0.0,0.01,0.0,0
50,52580.0,0.0,0.0,0.0,0
29,35344.83,0.0,0.0,0.0,0
56,37589.29,0.0,0.0,0.0,0
261,33414.18,0.3,0.55,0.25,0
81,15080.25,0.0,0.0,0.0,0
3,13333.33,0.0,0.0,0.0,0
14,16071.43,0.0,0.0,0.0,0
53,26179.25,0.0,0.11,0.0,0
163,18380.37,0.0,0.0,0.0,0
75,44893.33,0.0,0.0,0.0,0
38,50500.0,0.0,0.24,0.0,0
40,35550.0,0.0,0.05,0.0,0
1729,21767.9,0.0,0.0,0.0,0
57,63543.86,0.0,0.21,0.0,0
34,43235.29,0.0,0.0,0.0,0
94,21920.21,0.0,0.0,0.0,0
25,25840.0,0.0,0.0,0.0,0
92,40293.48,0.08,0.13,0.0,0
39,22153.85,0.0,0.0,0.0,0
1,10000.0,0.0,0.0,0.0,0
83,24433.73,5.95,16.76,6.33,1
48,40708.33,0.0,0.0,0.0,0
2123,25297.36,0.0,0.0,0.0,0
42,29666.67,0.0,0.0,0.0,0
121,35553.72,0.0,0.0,0.0,0
31,23548.39,0.0,0.0,0.0,0
13,26923.08,0.0,0.0,0.0,0
15,13333.33,0.0,0.0,0.0,0
4,80000.0,0.0,0.0,0.0,0
59,60084.75,0.0,0.0,0.0,0
38,24078.95,0.0,0.0,0.0,0
133,31563.91,0.0,0.01,0.0,0
177,44392.66,0.16,0.16,0.0,0
65,49692.31,0.0,0.0,0.0,0
49,30102.04,0.0,0.0,0.0,0
50,54350.0,0.0,0.0,0.34,0
5,14000.0,0.0,0.0,0.0,0
25,12600.0,0.0,0.0,0.0,0
153,32679.74,0.0,0.0,0.0,0
95,43726.32,0.0,0.01,0.0,0
172,37401.16,0.12,0.25,0.49,0
40,41950.0,0.0,0.0,0.0,0
53,25886.79,0.0,0.02,0.0,0
64,42906.25,1.84,2.67,2.86,1
45,17577.78,0.0,0.0,0.0,0
144,34423.61,0.29,0.29,1.94,0
47,17340.43,0.0,0.0,0.0,0
64,30171.88,0.0,0.0,0.0,0
31,34838.71,0.0,0.0,0.0,0
85,40423.53,0.0,0.0,0.11,0
5,17000.0,0.0,0.0,0.0,0
15,30400.0,0.0,0.0,0.0,0
23,33478.26,0.0,0.0,0.0,0
39,24743.59,0.0,0.0,0.0,0
80,33100.0,0.0,0.0,0.0,0
60,53833.33,0.0,0.0,0.0,0
38,34605.26,4.58,14.92,8.63,1
136,26154.41,0.0,0.08,0.0,0
18,20277.78,0.0,0.0,0.0,0
52,23596.15,0.0,0.0,0.0,0
115,35652.17,0.0,0.05,0.0,0
95,22147.37,0.13,0.33,0.0,0
40,31125.0,0.0,0.0,0.0,0
85,47352.94,0.0,0.0,0.0,0
81,28845.68,0.43,0.64,0.0,0
47,20680.85,0.0,0.0,0.0,0
51,23086.27,4.12,22.14,4.73,1
56,37910.71,0.09,0.09,0.0,0
110,29409.09,0.0,0.85,0.0,0
43,28023.26,27.51,76.19,29.67,1
59,39338.98,0.0,0.0,0.0,0
22,50909.09,0.0,0.0,0.0,0
4,21250.0,0.0,0.0,0.0,0
61,30655.74,0.0,0.0,0.0,0
115,26542.61,0.0,0.2,0.0,0
73,29935.62,12.08,28.86,13.78,1
243,19218.52,0.16,0.21,0.0,0
40,31575.0,0.0,0.0,0.0,0
101,28995.05,0.0,0.02,0.0,0
20,15000.0,0.0,0.0,0.0,0
8,23625.0,0.0,0.0,0.0,0
17,19117.65,0.0,0.0,0.0,0
57,28070.18,0.0,0.0,0.0,0
51,43450.98,0.0,0.0,0.0,0
103,37679.61,0.0,0.05,0.0,0
42,46470.24,0.0,0.05,0.0,0
91,28098.9,3.59,9.31,4.54,1
71,46697.18,1.27,3.54,0.0,0
23,21521.74,0.0,0.0,0.0,0
22,20545.45,0.0,0.0,0.0,0
61,50754.1,0.0,0.0,0.0,0
72,41009.72,5.47,17.28,4.38,1
49,25794.9,4.63,7.86,3.0,1
26,24826.92,0.0,0.0,0.0,0
57,39192.98,0.0,0.0,0.0,0
35,33057.14,0.0,0.0,0.0,0
130,27538.46,0.0,0.12,0.0,0
76,36934.21,0.0,0.01,0.0,0
9,24444.44,0.0,0.0,0.0,0
57,40473.68,0.0,0.0,0.0,0
29,17275.86,0.0,0.0,0.0,0
19,23421.05,0.0,0.0,0.0,0
27,26611.11,0.0,0.0,0.0,0
126,35214.29,0.0,0.02,0.0,0
98,26163.27,0.17,0.17,0.49,0
30,24620.33,0.0,0.0,0.0,0
63,17342.86,0.0,0.0,0.0,0
61,44311.48,0.0,0.61,0.0,0
65,39230.77,1.49,3.08,1.97,0
53,39169.81,0.47,0.75,0.53,0
22,37045.45,0.0,0.0,0.0,0
43,40790.7,0.0,0.14,0.0,0
75,33893.33,0.0,0.0,0.0,0
73,19921.23,0.0,1.53,0.0,0
107,34864.49,0.1,0.12,0.46,0
30,32000.0,0.0,0.0,0.0,0
51,49882.35,0.0,0.0,0.0,0
74,30440.27,0.0,0.0,0.0,0
134,34694.03,0.0,0.0,0.0,0
24,37291.67,0.0,0.0,0.0,0
123,26799.35,0.0,0.09,0.0,0
70,37057.14,0.0,13.93,0.0,0
28,27928.57,8.14,22.68,8.5,1
80,55081.25,1.75,3.15,1.6,0
27,15879.63,0.0,0.0,0.0,0
42,51428.57,0.0,0.0,0.0,0
46,30043.48,0.0,0.02,0.0,0
139,30946.04,0.07,0.45,0.0,0
147,39081.63,0.0,0.0,0.0,0
5,15000.0,0.0,0.0,0.0,0
23,30900.0,0.0,0.0,0.0,0
20,37000.0,0.0,0.0,0.0,0
20,33700.0,0.0,0.35,0.0,0
66,18613.64,0.0,0.0,0.0,0
101,39138.61,0.0,0.0,0.0,0
45,26177.78,0.0,8.13,0.0,0
19,10263.16,0.0,0.0,0.0,0
59,31677.97,0.0,0.0,0.0,0
59,44322.03,0.0,0.0,0.0,0
81,56271.6,0.0,0.0,0.0,0
16,26562.5,0.0,0.0,0.0,0
57,29438.6,0.0,0.0,0.0,0
16,19437.5,0.0,0.0,0.0,0
